City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,san antonio de pale,-1.4014,5.6325,25.92,86,90,5.39,GQ,1699234453
252,garissa,-0.4536,39.6401,24.74,88,93,4.58,KE,1699234365
253,pocone,-16.2567,-56.6228,28.69,47,6,1.63,BR,1699234454
254,rio de janeiro,-22.9028,-43.2075,22.98,65,0,3.6,BR,1699234207
255,puerto baquerizo moreno,-0.9,-89.6,24.67,73,100,5.53,EC,1699234063
256,stanwood,48.2412,-122.3707,14.16,83,100,0.45,US,1699234454
257,holualoa,19.6228,-155.9522,25.91,73,75,3.6,US,1699234455
258,bunia,1.5667,30.25,16.29,98,85,1.08,CD,1699234455
259,orapa,-21.2833,25.3667,25.22,43,85,4.54,BW,1699234455
260,nar'yan-mar,67.6713,53.087,-4.38,96,100,7.6,RU,1699234455
261,mirnyy,62.5353,113.9611,-8.22,93,100,2.79,RU,1699234456
262,mejit,10.2753,170.8646,28.1,74,65,9.5,MH,1699234066
263,kagizman,40.1567,43.1342,1.15,72,0,1.63,TR,1699234456
264,aasiaat,68.7098,-52.8699,-17.34,81,66,2.7,GL,1699234220
265,fremantle,-32.05,115.7667,23.84,69,100,3.6,AU,1699234243
266,funafuti,-8.5243,179.1942,27.0,94,100,0.0,TV,1699234457
267,ixtepec,16.5786,-95.1022,25.0,60,94,6.54,MX,1699234457
268,tchintabaraden,15.8969,5.7985,26.45,15,0,3.09,NE,1699234457
269,peruwelz,50.5082,3.5918,10.08,91,100,6.17,BE,1699234458
270,brookings,44.3114,-96.7984,14.0,78,0,5.14,US,1699234395
271,cadale,2.7603,46.3222,27.33,78,99,2.7,SO,1699234377
272,vorgashor,67.5833,63.95,-10.9,94,100,3.3,RU,1699234458
273,paphos,34.7667,32.4167,18.46,72,0,3.6,CY,1699234458
274,concepcion,-36.827,-73.0498,12.89,82,0,1.54,CL,1699234338
275,kivioli,59.3531,26.9711,6.11,97,100,3.05,EE,1699234459
276,dazhong,33.1997,120.4578,14.14,36,0,8.39,CN,1699234459
277,gulf shores,30.246,-87.7008,19.48,71,0,2.06,US,1699234459
278,pago pago,-14.2781,-170.7025,29.55,84,75,8.23,AS,1699234460
279,talara,-4.5772,-81.2719,21.42,78,20,7.2,PE,1699234445
280,altai,46.3722,96.2583,-6.26,57,15,1.87,MN,1699234460
281,saynshand,44.8824,110.1163,-10.49,73,8,1.13,MN,1699234460
282,plastun,44.7561,136.2939,3.06,98,100,6.6,RU,1699234460
283,huanuni,-18.2667,-66.85,9.15,62,69,6.69,BO,1699234461
284,bage,-31.3314,-54.1069,15.88,72,0,5.66,BR,1699234461
285,tralee,52.2704,-9.7026,9.96,81,99,7.68,IE,1699234461
286,nadi,-17.8,177.4167,30.0,66,75,6.69,FJ,1699234346
287,caleta de carquin,-11.0925,-77.6267,19.14,84,100,5.2,PE,1699234462
288,tolanaro,-25.0319,46.9987,23.04,83,75,10.8,MG,1699234462
289,abbeville,50.1,1.8333,11.98,89,98,7.92,FR,1699234462
